date,matchup,status,completed,lakers_score,opp_score,opp_team,result,win,wins,losses
2025-10-22,GS @ LAL,Final,True,109,119,GS,L,0.0,0,1
2025-10-25,MIN @ LAL,Final,True,128,110,MIN,W,1.0,1,1
2025-10-27,LAL @ SAC,Final,True,127,120,SAC,W,1.0,2,1
2025-10-28,POR @ LAL,Final,True,108,122,POR,L,0.0,2,2
2025-10-30,LAL @ MIN,Final,True,116,115,MIN,W,1.0,3,2
2025-11-01,LAL @ MEM,Final,True,117,112,MEM,W,1.0,4,2
2025-11-03,MIA @ LAL,Final,True,130,120,MIA,W,1.0,5,2
2025-11-04,LAL @ POR,Final,True,123,115,POR,W,1.0,6,2
2025-11-06,SA @ LAL,Final,True,118,116,SA,W,1.0,7,2
2025-11-09,LAL @ ATL,Final,True,102,122,ATL,L,0.0,7,3
2025-11-11,LAL @ CHA,Final,True,121,111,CHA,W,1.0,8,3
2025-11-13,LAL @ OKC,Final,True,92,121,OKC,L,0.0,8,4
2025-11-15,LAL @ NO,Final,True,118,104,NO,W,1.0,9,4
2025-11-16,LAL @ MIL,Final,True,119,95,MIL,W,1.0,10,4
2025-11-19,UTAH @ LAL,Final,True,140,126,UTAH,W,1.0,11,4
2025-11-24,LAL @ UTAH,Final,True,108,106,UTAH,W,1.0,12,4
2025-11-26,LAC @ LAL,Final,True,135,118,LAC,W,1.0,13,4
2025-11-29,DAL @ LAL,Final,True,129,119,DAL,W,1.0,14,4
2025-12-01,NO @ LAL,Final,True,133,121,NO,W,1.0,15,4
2025-12-02,PHX @ LAL,Final,True,108,125,PHX,L,0.0,15,5
2025-12-05,LAL @ TOR,Final,True,123,120,TOR,W,1.0,16,5
2025-12-06,LAL @ BOS,Final,True,105,126,BOS,L,0.0,16,6
2025-12-08,LAL @ PHI,Final,True,112,108,PHI,W,1.0,17,6
2025-12-11,SA @ LAL,Final,True,119,132,SA,L,0.0,17,7
2025-12-15,LAL @ PHX,Final,True,116,114,PHX,W,1.0,18,7
2025-12-19,LAL @ UTAH,Final,True,143,135,UTAH,W,1.0,19,7
2025-12-21,LAL @ LAC,Final,True,88,103,LAC,L,0.0,19,8
2025-12-24,LAL @ PHX,Final,True,108,132,PHX,L,0.0,19,9
2025-12-26,HOU @ LAL,Final,True,96,119,HOU,L,0.0,19,10
2025-12-29,SAC @ LAL,Final,True,125,101,SAC,W,1.0,20,10
2025-12-31,DET @ LAL,Final,True,106,128,DET,L,0.0,46,26
2026-01-03,MEM @ LAL,Final,True,128,121,MEM,W,1.0,21,11
2026-01-05,MEM @ LAL,Final,True,120,114,MEM,W,1.0,22,11
2026-01-07,LAL @ NO,Final,True,111,103,NO,W,1.0,23,11
2026-01-08,LAL @ SA,Final,True,91,107,SA,L,0.0,23,12
2026-01-10,MIL @ LAL,Final,True,101,105,MIL,L,0.0,23,13
2026-01-13,LAL @ SAC,Final,True,112,124,SAC,L,0.0,23,14
2026-01-14,ATL @ LAL,Final,True,141,116,ATL,W,1.0,24,14
2026-01-16,CHA @ LAL,Final,True,117,135,CHA,L,0.0,24,15
2026-01-18,LAL @ POR,Final,True,116,132,POR,L,0.0,24,16
2026-01-19,TOR @ LAL,Final,True,110,93,TOR,W,1.0,25,16
2026-01-21,LAL @ DEN,Final,True,115,107,DEN,W,1.0,26,16
2026-01-23,LAL @ LAC,Final,True,104,112,LAC,L,0.0,26,17
2026-01-25,LAL @ DAL,Final,True,116,110,DAL,W,1.0,27,17
2026-01-27,LAL @ CHI,Final,True,129,118,CHI,W,1.0,28,17
2026-01-29,LAL @ CLE,Final,True,99,129,CLE,L,0.0,28,18
2026-01-31,LAL @ WSH,Final,True,142,111,WSH,W,1.0,29,18
2026-02-02,LAL @ NY,Final,True,100,112,NY,L,0.0,29,19
2026-02-04,LAL @ BKN,Final,True,125,109,BKN,W,1.0,30,19
2026-02-06,PHI @ LAL,Final,True,119,115,PHI,W,1.0,31,19
2026-02-08,GS @ LAL,Final,True,105,99,GS,W,1.0,32,19
2026-02-10,OKC @ LAL,Final,True,110,119,OKC,L,0.0,32,20
2026-02-11,SA @ LAL,Final,True,108,136,SA,L,0.0,32,21
2026-02-13,DAL @ LAL,Final,True,124,104,DAL,W,1.0,33,21
2026-02-21,LAC @ LAL,Final,True,125,122,LAC,W,1.0,34,21
2026-02-22,BOS @ LAL,Final,True,89,111,BOS,L,0.0,34,22
2026-02-25,ORL @ LAL,Final,True,109,110,ORL,L,0.0,34,23
2026-02-27,LAL @ PHX,Final,True,110,113,PHX,L,0.0,34,24
2026-03-01,LAL @ GS,Final,True,129,101,GS,W,1.0,35,24
2026-03-02,SAC @ LAL,Final,True,128,104,SAC,W,1.0,36,24
2026-03-04,NO @ LAL,Final,True,110,101,NO,W,1.0,37,24
